v0,tor_lead_time,x_hazard,policy,a_coast,t_buildup,stopping_margin,collision,impact_speed,ttc_min,x_stop_full
30.0,2.0,60.0,W0,4.0,0.3,-30.42430182473892,True,22.742320264668663,0.0,90.42430182473892
30.0,2.0,60.0,W1,4.0,0.3,-14.245831236502426,True,15.562105610123696,0.0,74.24583123650243
30.0,2.0,60.0,W0,0.0,0.4,-31.899510158072843,True,23.28715681845776,0.0,91.89951015807284
30.0,2.0,60.0,W1,0.0,0.4,-31.899510158072843,True,23.28715681845776,0.0,91.89951015807284
30.0,2.0,60.0,W0,1.0,0.4,-31.899510158072843,True,23.28715681845776,0.0,91.89951015807284
30.0,2.0,60.0,W1,1.0,0.4,-27.628421922774677,True,21.672175079750318,0.0,87.62842192277468
30.0,2.0,60.0,W0,2.0,0.4,-31.899510158072843,True,23.28715681845776,0.0,91.89951015807284
30.0,2.0,60.0,W1,2.0,0.4,-23.47498074631396,True,19.9768534230868,0.0,83.47498074631396
30.0,2.0,60.0,W0,3.0,0.4,-31.899510158072843,True,23.28715681845776,0.0,91.89951015807284
30.0,2.0,60.0,W1,3.0,0.4,-19.439186628663265,True,18.17872857730725,0.0,79.43918662866326
30.0,2.0,60.0,W0,4.0,0.4,-31.899510158072843,True,23.28715681845776,0.0,91.89951015807284
30.0,2.0,60.0,W1,4.0,0.4,-15.521039569836304,True,16.243696398521035,0.0,75.5210395698363
30.0,2.0,60.0,W0,0.0,0.5,-33.367635158073384,True,23.81700648040099,0.0,93.36763515807338
30.0,2.0,60.0,W1,0.0,0.5,-33.367635158073384,True,23.81700648040099,0.0,93.36763515807338
30.0,2.0,60.0,W0,1.0,0.5,-33.367635158073384,True,23.81700648040099,0.0,93.36763515807338
30.0,2.0,60.0,W1,1.0,0.5,-29.04654692277522,True,22.221415294426432,0.0,89.04654692277522
30.0,2.0,60.0,W0,2.0,0.5,-33.367635158073384,True,23.81700648040099,0.0,93.36763515807338
30.0,2.0,60.0,W1,2.0,0.5,-24.843105746314677,True,20.5507371567911,0.0,84.84310574631468
30.0,2.0,60.0,W0,3.0,0.5,-33.367635158073384,True,23.81700648040099,0.0,93.36763515807338
30.0,2.0,60.0,W1,3.0,0.5,-20.757311628663786,True,18.784948700686574,0.0,80.75731162866379
30.0,2.0,60.0,W0,4.0,0.5,-33.367635158073384,True,23.81700648040099,0.0,93.36763515807338
30.0,2.0,60.0,W1,4.0,0.5,-16.789164569836856,True,16.89425339242139,0.0,76.78916456983686
30.0,2.0,60.0,W0,0.0,0.6,-34.828676824740654,True,24.33284829239711,0.0,94.82867682474065
30.0,2.0,60.0,W1,0.0,0.6,-34.828676824740654,True,24.33284829239711,0.0,94.82867682474065
30.0,2.0,60.0,W0,1.0,0.6,-34.828676824740654,True,24.33284829239711,0.0,94.82867682474065
30.0,2.0,60.0,W1,1.0,0.6,-30.45758858944224,True,22.75475787655662,0.0,90.45758858944224
30.0,2.0,60.0,W0,2.0,0.6,-34.828676824740654,True,24.33284829239711,0.0,94.82867682474065
30.0,2.0,60.0,W1,2.0,0.6,-26.20414741298177,True,21.106172225698895,0.0,86.20414741298177
30.0,2.0,60.0,W0,3.0,0.6,-34.828676824740654,True,24.33284829239711,0.0,94.82867682474065
30.0,2.0,60.0,W1,3.0,0.6,-22.068353295331022,True,19.369099256825937,0.0,82.06835329533102
30.0,2.0,60.0,W0,4.0,0.6,-34.828676824740654,True,24.33284829239711,0.0,94.82867682474065
30.0,2.0,60.0,W1,4.0,0.6,-18.050206236503882,True,17.51723454260658,0.0,78.05020623650388
30.0,2.0,60.0,W0,0.0,0.7,-36.28263515807471,True,24.835555111321728,0.0,96.28263515807471
30.0,2.0,60.0,W1,0.0,0.7,-36.28263515807471,True,24.835555111321728,0.0,96.28263515807471
30.0,2.0,60.0,W0,1.0,0.7,-36.28263515807471,True,24.835555111321728,0.0,96.28263515807471
30.0,2.0,60.0,W1,1.0,0.7,-31.8615469227761,True,23.273295806296932,0.0,91.8615469227761
30.0,2.0,60.0,W0,2.0,0.7,-36.28263515807471,True,24.835555111321728,0.0,96.28263515807471
30.0,2.0,60.0,W1,2.0,0.7,-27.558105746315704,True,21.644578944565964,0.0,87.5581057463157
30.0,2.0,60.0,W0,3.0,0.7,-36.28263515807471,True,24.835555111321728,0.0,96.28263515807471
30.0,2.0,60.0,W1,3.0,0.7,-23.372311628664875,True,19.933120620902802,0.0,83.37231162866487
30.0,2.0,60.0,W0,4.0,0.7,-36.28263515807471,True,24.835555111321728,0.0,96.28263515807471
30.0,2.0,60.0,W1,4.0,0.7,-19.304164569837596,True,18.115485024899854,0.0,79.3041645698376
30.0,2.1,63.0,W0,0.0,0.0,-22.941176470570483,True,19.748417658127746,0.0,85.94117647057048
30.0,2.1,63.0,W1,0.0,0.0,-22.941176470570483,True,19.748417658127746,0.0,85.94117647057048
30.0,2.1,63.0,W0,1.0,0.0,-22.941176470570483,True,19.748417658127746,0.0,85.94117647057048
30.0,2.1,63.0,W1,1.0,0.0,-18.870588235272564,True,17.910890541783846,0.0,81.87058823527256
30.0,2.1,63.0,W0,2.0,0.0,-22.941176470570483,True,19.748417658127746,0.0,85.94117647057048
30.0,2.1,63.0,W1,2.0,0.0,-14.91764705881144,True,15.924823389912328,0.0,77.91764705881144
30.0,2.1,63.0,W0,3.0,0.0,-22.941176470570483,True,19.748417658127746,0.0,85.94117647057048
30.0,2.1,63.0,W1,3.0,0.0,-11.082352941161233,True,13.725887949412614,0.0,74.08235294116123
30.0,2.1,63.0,W0,4.0,0.0,-22.941176470570483,True,19.748417658127746,0.0,85.94117647057048
30.0,2.1,63.0,W1,4.0,0.0,-7.36470588233459,True,11.189280584548904,0.0,70.36470588233459
30.0,2.1,63.0,W0,0.0,0.1,-24.45263515807109,True,20.38859479432978,0.0,87.45263515807109
30.0,2.1,63.0,W1,0.0,0.1,-24.45263515807109,True,20.38859479432978,0.0,87.45263515807109
30.0,2.1,63.0,W0,1.0,0.1,-24.45263515807109,True,20.38859479432978,0.0,87.45263515807109
30.0,2.1,63.0,W1,1.0,0.1,-20.331546922773086,True,18.591296288513078,0.0,83.33154692277309
30.0,2.1,63.0,W0,2.0,0.1,-24.45263515807109,True,20.38859479432978,0.0,87.45263515807109
30.0,2.1,63.0,W1,2.0,0.1,-16.328105746312076,True,16.660666183782038,0.0,79.32810574631208
