steer_speed_thresh_rad_s,brake_force_rate_thresh_N_s,persistence_duration_s,search_start_condition,eligible_trials,settled_rate_pct,t_stable_median_s,t_stable_iqr_s,t_stable_mean_s,t_stable_std_s,near_end_trials_pct
0.05,10.0,1.0,T_first + 3.0 s,498,100.0,18.700418353075577,11.737059116342433,19.08475340992401,10.69804655837018,0.0
0.05,10.0,1.5,T_first + 3.0 s,498,100.0,22.62504136560814,7.7372916341459295,24.603930118570574,11.308203333113338,0.0
0.05,10.0,2.0,T_first + 3.0 s,498,100.0,24.17484331128257,8.351189315321502,26.417383934597623,11.26361739317169,0.0
0.05,20.0,1.0,T_first + 3.0 s,498,100.0,18.675138354325576,11.68762624256571,18.81105863042454,10.093170161686421,0.0
0.05,20.0,1.5,T_first + 3.0 s,498,100.0,22.549610733991855,7.787431776554644,24.456540560624894,11.344319995143714,0.0
0.05,20.0,2.0,T_first + 3.0 s,498,100.0,24.074769854525574,8.46267259123314,26.334452208264494,11.268996505382594,0.0
0.05,30.0,1.0,T_first + 3.0 s,498,100.0,18.225314021075576,11.524724125874425,18.101319677378008,8.87213068183552,0.0
0.05,30.0,1.5,T_first + 3.0 s,498,100.0,22.324802637083714,7.8125662803674345,23.824110842132395,10.284949233130355,0.0
0.05,30.0,2.0,T_first + 3.0 s,498,100.0,23.900206923508144,8.287166237791858,25.743187148885283,10.408730595399796,0.0
0.08,10.0,1.0,T_first + 3.0 s,498,100.0,13.999946117382567,10.613240659230216,15.948006424557462,10.314578324058735,0.0
0.08,10.0,1.5,T_first + 3.0 s,498,100.0,20.674975156766287,9.288000941308141,21.478829719932413,10.623771157860476,0.0
0.08,10.0,2.0,T_first + 3.0 s,498,100.0,22.72497141359186,8.512265086158138,24.591480322150552,10.395916964695676,0.0
0.08,20.0,1.0,T_first + 3.0 s,498,100.0,13.975239276882569,10.612594842916282,15.69198232817192,9.613212944367735,0.0
0.08,20.0,1.5,T_first + 3.0 s,498,100.0,20.52470207215,9.224922537775573,21.373207230164073,10.651749553334659,0.0
0.08,20.0,2.0,T_first + 3.0 s,498,100.0,22.70051074026628,8.34923863413372,24.51648032138455,10.392920591323687,0.0
0.08,30.0,1.0,T_first + 3.0 s,498,100.0,13.674995541574425,10.487959563721503,14.900315663420262,8.032985940867158,0.0
0.08,30.0,1.5,T_first + 3.0 s,498,100.0,20.300325155266282,9.349994599795355,20.55603855632703,8.94689556346677,0.0
0.08,30.0,2.0,T_first + 3.0 s,498,100.0,22.324940800624425,8.213067710386639,23.843488354757817,9.443230805710467,0.0
0.03,10.0,1.0,T_pass,498,100.0,22.025203585625576,8.850552737686641,23.037665057372106,10.548031218595126,0.0
0.03,10.0,1.5,T_pass,498,99.79919678714859,24.849570035916283,8.849899768767429,27.221945390853147,11.465503341884212,0.2008032128514056
0.03,10.0,2.0,T_pass,498,98.99598393574297,25.749362230283715,8.850399494167434,28.295551606170807,11.111141729570699,0.0
0.03,20.0,1.0,T_pass,498,100.0,21.949636220916283,8.850552737686641,22.99107871189483,10.544770790027274,0.0
0.03,20.0,1.5,T_pass,498,99.79919678714859,24.799817562132567,8.899147033699997,27.17073814729644,11.465163160192656,0.2008032128514056
0.03,20.0,2.0,T_pass,498,98.99598393574297,25.5990848541,8.949580430983715,28.203766617280014,11.11580616756988,0.0
0.03,30.0,1.0,T_pass,498,100.0,21.874831795691858,8.887673258800575,22.948106825589385,10.549282380802502,0.0
0.03,30.0,1.5,T_pass,498,99.79919678714859,24.699969530083717,8.899147033699997,27.126070138192777,11.464801720993814,0.2008032128514056
0.03,30.0,2.0,T_pass,498,98.99598393574297,25.500569105116284,8.949580430983715,28.177701708267737,11.111328167027805,0.0
0.05,10.0,1.0,T_pass,498,100.0,19.524894475916284,10.09974670413257,20.693086743353092,10.528931209572189,0.0
0.05,10.0,1.5,T_pass,498,100.0,22.95017087455814,7.636638045318001,25.07822730837885,11.282546812400394,0.0
0.05,10.0,2.0,T_pass,498,100.0,24.3000240326,8.337248683008141,26.677926103272323,11.258458057453549,0.0
0.05,20.0,1.0,T_pass,498,100.0,19.474655270574427,10.08723485471571,20.66035581927531,10.517550400608561,0.0
0.05,20.0,1.5,T_pass,498,100.0,22.95017087455814,7.512779295447075,24.974914055749803,11.282431109266941,0.0
0.05,20.0,2.0,T_pass,498,100.0,24.175181865682568,8.38778471950872,26.594291565885715,11.266334776429394,0.0
0.05,30.0,1.0,T_pass,498,100.0,19.34984874725,9.999660015149999,20.595697186556418,10.507193943362513,0.0
0.05,30.0,1.5,T_pass,498,100.0,22.95017087455814,7.574330985586641,24.942885943204253,11.284281705985306,0.0
0.05,30.0,2.0,T_pass,498,100.0,24.12490558625,8.300388574641282,26.54589799225878,11.263350271665315,0.0
0.08,10.0,1.0,T_pass,498,100.0,16.399994015674427,9.461694300129647,17.957845784093692,10.042588124790557,0.0
0.08,10.0,1.5,T_pass,498,100.0,20.94975852965,8.749927163116858,22.169492369194316,10.5571991575719,0.0
0.08,10.0,2.0,T_pass,498,100.0,22.925371527658143,8.188174307362218,24.98324738975339,10.419256027193356,0.0
0.08,20.0,1.0,T_pass,498,100.0,16.399994015674427,9.287488758520926,17.928628917198314,10.028524308612228,0.0
0.08,20.0,1.5,T_pass,498,100.0,20.850073575966285,8.700206816179644,22.093889959843015,10.525742926070553,0.0
0.08,20.0,2.0,T_pass,498,100.0,22.899985194175574,8.22581672665757,24.90754457793391,10.419598229886098,0.0
0.08,30.0,1.0,T_pass,498,100.0,16.374674797049998,9.237806499029073,17.842986348161944,10.027502832967677,0.0
0.08,30.0,1.5,T_pass,498,100.0,20.775678276991858,8.69998085500929,22.053528514730136,10.535373563994547,0.0
0.08,30.0,2.0,T_pass,498,100.0,22.750362873082565,8.01269996167558,24.805636948369322,10.443846926566962,0.0
0.03,10.0,1.0,Time_Lane_Change,484,100.0,21.450273871408143,10.36264675852907,21.89609015480404,10.615627566267108,0.0
0.03,10.0,1.5,Time_Lane_Change,484,99.79338842975206,24.59998011591628,8.425699710882569,26.712333945752786,11.463615118544016,0.2066115702479339
0.03,10.0,2.0,Time_Lane_Change,484,98.96694214876032,25.5990848541,8.499905467075571,27.941873441905827,10.988089392503861,0.0
0.03,20.0,1.0,Time_Lane_Change,484,100.0,21.399569273016283,10.349994540175576,21.848156270407998,10.607122707068617,0.0
0.03,20.0,1.5,Time_Lane_Change,484,99.79338842975206,24.5497512817,8.200211882608144,26.659642434266896,11.460914022661688,0.2066115702479339
0.03,20.0,2.0,Time_Lane_Change,484,98.96694214876032,25.45052099223257,8.649419069283713,27.847614570050858,10.989989336870446,0.0
