trial_id,participant_id,scenario_id,density,nback,brake_extrema_count,brake_reapplication_count,brake_derivative_sign_changes,steering_reversals_count,steering_rate_sign_changes
density_20_nback_1_id_17,17,density_20_nback_1,20,1,4,3,15,56,71
density_20_nback_2_id_17,17,density_20_nback_2,20,2,6,8,17,10,209
density_0_nback_0_id_18,18,density_0_nback_0,0,0,2,1,11,75,89
density_0_nback_1_id_18,18,density_0_nback_1,0,1,1,0,0,107,108
density_0_nback_2_id_18,18,density_0_nback_2,0,2,1,0,5,95,135
density_10_nback_0_id_18,18,density_10_nback_0,10,0,3,4,13,27,46
density_10_nback_1_id_18,18,density_10_nback_1,10,1,3,0,23,92,211
density_10_nback_2_id_18,18,density_10_nback_2,10,2,5,3,25,91,111
density_20_nback_0_id_18,18,density_20_nback_0,20,0,3,0,5,206,221
density_20_nback_1_id_18,18,density_20_nback_1,20,1,4,1,15,30,71
density_20_nback_2_id_18,18,density_20_nback_2,20,2,4,3,10,39,281
density_0_nback_0_id_19,19,density_0_nback_0,0,0,1,0,1,85,97
density_0_nback_1_id_19,19,density_0_nback_1,0,1,2,0,3,87,90
density_0_nback_2_id_19,19,density_0_nback_2,0,2,1,0,6,118,201
density_10_nback_0_id_19,19,density_10_nback_0,10,0,3,3,25,69,113
density_10_nback_1_id_19,19,density_10_nback_1,10,1,3,1,12,90,192
density_10_nback_2_id_19,19,density_10_nback_2,10,2,5,4,16,81,106
density_20_nback_0_id_19,19,density_20_nback_0,20,0,3,1,5,234,249
density_20_nback_1_id_19,19,density_20_nback_1,20,1,4,4,13,34,70
density_20_nback_2_id_19,19,density_20_nback_2,20,2,7,5,15,9,266
density_0_nback_0_id_20,20,density_0_nback_0,0,0,1,0,5,63,86
density_0_nback_1_id_20,20,density_0_nback_1,0,1,1,0,0,132,132
density_0_nback_2_id_20,20,density_0_nback_2,0,2,6,10,36,28,132
density_10_nback_0_id_20,20,density_10_nback_0,10,0,5,14,27,42,62
density_10_nback_1_id_20,20,density_10_nback_1,10,1,3,2,12,128,177
density_10_nback_2_id_20,20,density_10_nback_2,10,2,5,22,11,50,60
density_20_nback_0_id_20,20,density_20_nback_0,20,0,5,2,10,229,237
density_20_nback_1_id_20,20,density_20_nback_1,20,1,10,9,26,88,130
density_20_nback_2_id_20,20,density_20_nback_2,20,2,7,6,53,32,245
density_0_nback_0_id_21,21,density_0_nback_0,0,0,2,1,7,53,65
density_0_nback_1_id_21,21,density_0_nback_1,0,1,2,0,3,94,98
density_0_nback_2_id_21,21,density_0_nback_2,0,2,2,5,11,117,182
density_10_nback_0_id_21,21,density_10_nback_0,10,0,4,3,21,58,79
density_10_nback_1_id_21,21,density_10_nback_1,10,1,2,0,5,83,199
density_10_nback_2_id_21,21,density_10_nback_2,10,2,12,13,29,142,160
density_20_nback_0_id_21,21,density_20_nback_0,20,0,2,1,5,206,234
density_20_nback_1_id_21,21,density_20_nback_1,20,1,3,3,7,52,94
density_20_nback_2_id_21,21,density_20_nback_2,20,2,8,6,17,11,252
density_0_nback_0_id_22,22,density_0_nback_0,0,0,1,1,4,56,74
density_0_nback_1_id_22,22,density_0_nback_1,0,1,4,0,9,117,118
density_0_nback_2_id_22,22,density_0_nback_2,0,2,2,0,9,137,183
