trial_id,participant_id,scenario_id,density,nback,total_samples,duration_s,dt_mean,dt_std,is_strictly_monotonic,has_duplicate_timestamps,has_tor_request,tor_request_time,has_manual_start,manual_start_time,has_manual_stop,manual_stop_time,delta_t_manual_start,bf_min,bf_max,acc_min,acc_max,st_min_rad,st_max_rad,min_obstacle_distance,has_lane_change,lane_change_time,collision_outcome,usable_status,reason_code
density_10_nback_2_id_7,7,density_10_nback_2,10,2,1521,76.0,0.05,9.5367431640625e-08,True,False,True,27.0000305176,True,29.2002716064,True,45.949256897,2.200241088800002,0.0,152.652206421,0.0,1.0,-0.174253061414,0.230343788862,-755.034790039,True,35.0000610352,False,USABLE_FULL,NONE
density_20_nback_0_id_7,7,density_20_nback_0,20,0,1948,97.34999990463257,0.04999999995101827,9.533067567993742e-08,True,False,True,48.6991157532,True,49.5500144958,True,67.2998504639,0.8508987426000019,0.0,105.482803345,0.0,1.0,-0.156518727541,0.124400027096,-1035.68664551,True,55.0498924255,False,USABLE_FULL,NONE
density_20_nback_1_id_7,7,density_20_nback_1,20,1,1416,70.75,0.05,9.536743164062499e-08,True,False,True,24.0505695343,True,25.4002513885,True,40.6007804871,1.3496818542,0.0,289.758300781,0.0,1.0,-0.17470626533,0.130632013083,-700.894775391,True,30.3001117706,False,USABLE_FULL,NONE
density_20_nback_2_id_7,7,density_20_nback_2,20,2,1886,94.25,0.05,9.5367431640625e-08,True,False,True,49.15001297,True,50.8000869751,True,64.149230957,1.6500740051000022,0.0,197.510055542,0.0,1.0,-0.253114491701,0.218119502068,-832.362060547,True,55.0495567322,False,USABLE_FULL,NONE
density_0_nback_0_id_8,8,density_0_nback_0,0,0,1677,83.79999995231628,0.049999999971549094,9.534608682977335e-08,True,False,True,29.4497642517,True,31.0503063202,True,53.650592804,1.6005420685000011,0.0,76.0819396973,0.0,1.0,-0.571461796761,0.307045161724,-1107.94104004,True,33.4005775452,False,USABLE_FULL,NONE
density_0_nback_1_id_8,8,density_0_nback_1,0,1,1769,88.40000009536743,0.050000000053940855,9.54078634564063e-08,True,False,True,34.2006416321,True,36.0007667542,True,58.2508926392,1.800125122099999,0.0,188.244598389,0.0,1.0,-0.405079066753,0.379192382097,-967.349365234,True,39.0498657227,False,USABLE_FULL,NONE
density_0_nback_2_id_8,8,density_0_nback_2,0,2,1665,83.20000004768372,0.05000000002865608,9.538891697452281e-08,True,False,True,31.7995948792,True,33.3004722595,True,53.0502586365,1.5008773802999968,0.0,76.5537719727,0.0,1.0,-0.15795686841,0.280918747187,-1129.07641602,True,35.8503761292,False,USABLE_FULL,NONE
density_10_nback_0_id_8,8,density_10_nback_0,10,0,1340,66.95000004768372,0.05000000003561144,9.539412983333684e-08,True,False,True,21.1500682831,True,22.5997028351,True,36.8490524292,1.4496345519999991,0.0,73.6847763062,0.0,1.0,-0.280253916979,0.200571522117,-731.867675781,True,25.8492107391,False,USABLE_FULL,NONE
density_10_nback_1_id_8,8,density_10_nback_1,10,1,1646,82.25,0.05,9.5367431640625e-08,True,False,True,26.0997905731,True,28.0992355347,True,52.1497840881,1.9994449615999983,0.0,177.623321533,0.0,1.0,-0.102343373001,0.426651328802,-1293.08874512,True,30.9991664886,True,COLLISION_FAILURE,COLLISION_WITH_HAZARD
density_10_nback_2_id_8,8,density_10_nback_2,10,2,1687,84.29999995231628,0.04999999997171784,9.534621346918921e-08,True,False,True,26.9000968933,True,28.5500297546,True,54.1501083374,1.6499328613000017,0.0,264.976196289,0.0,1.0,-0.821209788322,1.07046854496,-897.485473633,True,30.6000347137,False,USABLE_FULL,NONE
density_20_nback_0_id_8,8,density_20_nback_0,20,0,2120,105.95000004768372,0.05000000002250293,9.538430469310826e-08,True,False,True,48.6000671387,True,50.0994224548,True,75.800201416,1.4993553161000008,0.0,376.930755615,0.0,1.0,-0.121044337749,0.265578478575,-1239.81640625,True,54.7501678467,False,USABLE_FULL,NONE
density_20_nback_1_id_8,8,density_20_nback_1,20,1,1486,74.25,0.05,9.536743164062499e-08,True,False,True,24.0495071411,True,25.7998008728,True,44.1493759155,1.7502937316999976,0.0,324.091064453,0.0,1.0,-0.193191558123,0.213325664401,-749.4140625,True,28.6498985291,False,USABLE_FULL,NONE
density_20_nback_2_id_8,8,density_20_nback_2,20,2,2163,108.09999990463257,0.04999999995588925,9.533433263636407e-08,True,False,True,49.2001571655,True,50.850227356,True,77.9502410889,1.6500701904999957,0.0,213.42578125,0.0,1.0,-0.360496401787,0.32861739397,-1140.18066406,True,53.2002258301,False,USABLE_FULL,NONE
density_0_nback_0_id_9,9,density_0_nback_0,0,0,1488,74.34999990463257,0.04999999993586588,9.531929734082525e-08,True,False,True,29.4500198364,True,31.7499485016,True,44.2500495911,2.2999286651999995,0.0,75.7279663086,0.0,1.0,-0.209697708488,0.308483302593,-842.612670898,True,35.1502151489,False,USABLE_FULL,NONE
density_0_nback_1_id_9,9,density_0_nback_1,0,1,1642,82.04999995231628,0.04999999997094228,9.534563143335424e-08,True,False,True,34.2001113892,True,35.8999900818,True,51.9004173279,1.6998786925999951,0.0,258.760620117,0.0,1.0,-0.54826259613,0.311525046825,-683.12097168,True,41.5500793457,False,USABLE_FULL,NONE
density_0_nback_2_id_9,9,density_0_nback_2,0,2,1507,75.29999995231628,0.049999999968337504,9.534367655555999e-08,True,False,False,,True,31.5500507355,True,45.2000045776,,0.0,74.9324951172,0.0,1.0,-0.36989068985,2.07597470284,-943.113891602,True,35.0001220703,False,USABLE_PREEMPTIVE,PREEMPTIVE_TAKEOVER_NO_TOR_ISSUED
density_10_nback_0_id_9,9,density_10_nback_0,10,0,1463,73.09999990463257,0.049999999934769196,9.531847366425025e-08,True,False,True,21.1500816345,True,22.6501502991,True,43.0501556396,1.5000686646000005,0.0,144.44883728,0.0,1.0,-0.205415844917,0.374638229609,-766.086669922,True,32.0003128052,False,USABLE_FULL,NONE
density_10_nback_1_id_9,9,density_10_nback_1,10,1,1584,79.15000009536743,0.05000000006024474,9.541258548131017e-08,True,False,True,26.1001224518,True,27.9000892639,True,49.0500221252,1.7999668120999992,0.0,307.963806152,0.0,1.0,-0.245635330677,0.377967655659,-1017.50561523,True,35.4000968933,False,USABLE_FULL,NONE
density_10_nback_2_id_9,9,density_10_nback_2,10,2,1520,75.95000004768372,0.05000000003139152,9.539096720848511e-08,True,False,True,26.9500274658,True,28.6003475189,True,45.8500022888,1.6503200530999997,0.0,162.393722534,0.0,1.0,-0.308243602514,0.342064142227,-755.460083008,True,34.4501113892,False,USABLE_FULL,NONE
density_20_nback_0_id_9,9,density_20_nback_0,20,0,1887,94.29999995231628,0.04999999997471701,9.534846416183556e-08,True,False,True,48.650352478,True,49.5503425598,True,64.2003173828,0.8999900817999986,0.0,225.912506104,0.0,1.0,-0.193191558123,0.261024326086,-955.526489258,True,55.7502708435,False,USABLE_FULL,NONE
density_20_nback_1_id_9,9,density_20_nback_1,20,1,1641,82.0,0.05,9.536743164062499e-08,True,False,True,28.7002868652,True,30.1502666473,True,51.9503097534,1.4499797821000016,0.0,292.410614014,0.0,1.0,-0.242328375578,0.170420840383,-681.825683594,True,34.9505767822,False,USABLE_FULL,NONE
density_20_nback_2_id_9,9,density_20_nback_2,20,2,2395,119.70000004768372,0.05000000001991801,9.538236689860787e-08,True,False,True,43.599937439,True,44.9999389648,True,89.5502319336,1.4000015258000005,0.0,142.910705566,0.0,1.0,-0.320707589388,0.385184675455,-861.105102539,True,78.6999053955,False,USABLE_FULL,NONE
