speed_kmh,mu,branch,parameter,dT_dp_at_mid,elasticity_at_mid,swing_s,abs_swing_s,share_of_oat_swing
130,0.5,P1,a_drag,-0.49959,-0.03704,-0.13984,0.13984,0.06045
130,0.5,P2|AUTH_AT_EFFECTIVE,t1,0.49733,0.19395,0.92006,0.92006,0.39307
130,0.5,P2|AUTH_AT_EFFECTIVE,t2,0.88508,0.0183,0.10621,0.10621,0.04537
130,0.5,P2|AUTH_AT_EFFECTIVE,t3,0.43405,0.06118,0.39064,0.39064,0.16689
130,0.5,P2|AUTH_AT_EFFECTIVE,a_max,0.0,0.0,0.0,0.0,0.0
130,0.5,P2|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
130,0.5,P2|AUTH_AT_EFFECTIVE,a_sup,-0.46191,-0.17362,-0.92381,0.92381,0.39467
130,0.5,P2|AUTH_UNCERTAIN,t1,0.65875,0.24137,1.21869,1.21869,0.39828
130,0.5,P2|AUTH_UNCERTAIN,t2,0.92962,0.01806,0.11155,0.11155,0.03646
130,0.5,P2|AUTH_UNCERTAIN,t3,0.45632,0.06043,0.41069,0.41069,0.13422
130,0.5,P2|AUTH_UNCERTAIN,a_max,0.0,0.0,0.0,0.0,0.0
130,0.5,P2|AUTH_UNCERTAIN,a_drag,-0.22547,-0.01791,-0.06311,0.06311,0.02062
130,0.5,P2|AUTH_UNCERTAIN,a_sup,-0.25528,-0.09016,-0.51056,0.51056,0.16686
130,0.5,P2|AUTH_UNCERTAIN,f_auth,-0.74528,-0.0658,-0.74528,0.74528,0.24357
