scenario_id,v0_kmh,ttc_s,hazard_distance_m,mu,branch,policy,authority_assumption,t1_s,t2_s,t3_s,a_pre_profile,a_drag_mps2,a_sup_mps2,a_max_capability_mps2,a_effective_mps2,t_required_min_s,t_required_max_s,recoverability_margin_best_s,recoverability_margin_worst_s,distance_margin_best_m,distance_margin_worst_m,classification,boundary_flag,classification_if_t1_high_4s,t1_high_4s_bound_method
v100_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc3.0,100,3.0,83.33,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.947,5.9881,0.053,-2.9881,1.47,-83.0,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc5.0,100,5.0,138.89,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.947,5.9881,2.053,-0.9881,57.03,-27.45,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc7.0,100,7.0,194.44,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.947,5.9881,4.053,1.0119,112.58,28.11,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc10.0,100,10.0,277.78,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.947,5.9881,7.053,4.0119,195.92,111.44,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu1.0_P0|AUTH_UNCERTAIN_ttc2.0,100,2.0,55.56,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.884,5.9881,-0.884,-3.9881,-24.56,-110.78,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu1.0_P0|AUTH_UNCERTAIN_ttc3.0,100,3.0,83.33,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.884,5.9881,0.116,-2.9881,3.22,-83.0,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu1.0_P0|AUTH_UNCERTAIN_ttc5.0,100,5.0,138.89,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.884,5.9881,2.116,-0.9881,58.78,-27.45,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu1.0_P0|AUTH_UNCERTAIN_ttc7.0,100,7.0,194.44,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.884,5.9881,4.116,1.0119,114.33,28.11,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu1.0_P0|AUTH_UNCERTAIN_ttc10.0,100,10.0,277.78,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.884,5.9881,7.116,4.0119,197.67,111.44,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu1.0_P1_ttc2.0,100,2.0,55.56,1.0,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.884,5.8342,-0.884,-3.8342,-24.56,-106.5,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu1.0_P1_ttc3.0,100,3.0,83.33,1.0,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.884,5.8342,0.116,-2.8342,3.22,-78.73,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu1.0_P1_ttc5.0,100,5.0,138.89,1.0,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.884,5.8342,2.116,-0.8342,58.78,-23.17,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu1.0_P1_ttc7.0,100,7.0,194.44,1.0,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.884,5.8342,4.116,1.1658,114.33,32.38,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu1.0_P1_ttc10.0,100,10.0,277.78,1.0,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.218, 0.4002]",,"[6.43, 9.1]","[6.43, 9.1]",2.884,5.8342,7.116,4.1658,197.67,115.72,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc2.0,100,2.0,55.56,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",2.4952,5.3016,-0.4952,-3.3016,-13.76,-91.71,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc3.0,100,3.0,83.33,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",2.4952,5.3016,0.5048,-2.3016,14.02,-63.93,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc5.0,100,5.0,138.89,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",2.4952,5.3016,2.5048,-0.3016,69.58,-8.38,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc7.0,100,7.0,194.44,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",2.4952,5.3016,4.5048,1.6984,125.13,47.18,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc10.0,100,10.0,277.78,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",2.4952,5.3016,7.5048,4.6984,208.47,130.51,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu1.0_P2|AUTH_UNCERTAIN_ttc2.0,100,2.0,55.56,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",2.4952,5.8342,-0.4952,-3.8342,-13.76,-106.5,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu1.0_P2|AUTH_UNCERTAIN_ttc3.0,100,3.0,83.33,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",2.4952,5.8342,0.5048,-2.8342,14.02,-78.73,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu1.0_P2|AUTH_UNCERTAIN_ttc5.0,100,5.0,138.89,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",2.4952,5.8342,2.5048,-0.8342,69.58,-23.17,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu1.0_P2|AUTH_UNCERTAIN_ttc7.0,100,7.0,194.44,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",2.4952,5.8342,4.5048,1.1658,125.13,32.38,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu1.0_P2|AUTH_UNCERTAIN_ttc10.0,100,10.0,277.78,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[6.43, 9.1]",2.4952,5.8342,7.5048,4.1658,208.47,115.72,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc2.0,100,2.0,55.56,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.2529,6.663,-2.2529,-4.663,-62.58,-129.53,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc3.0,100,3.0,83.33,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.2529,6.663,-1.2529,-3.663,-34.8,-101.75,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc5.0,100,5.0,138.89,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.2529,6.663,0.7471,-1.663,20.75,-46.19,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc7.0,100,7.0,194.44,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.2529,6.663,2.7471,0.337,76.31,9.36,ROBUSTLY SATISFIED,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc10.0,100,10.0,277.78,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.2529,6.663,5.7471,3.337,159.64,92.69,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu0.5_P0|AUTH_UNCERTAIN_ttc2.0,100,2.0,55.56,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.147,6.663,-2.147,-4.663,-59.64,-129.53,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu0.5_P0|AUTH_UNCERTAIN_ttc3.0,100,3.0,83.33,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.147,6.663,-1.147,-3.663,-31.86,-101.75,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu0.5_P0|AUTH_UNCERTAIN_ttc5.0,100,5.0,138.89,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.147,6.663,0.853,-1.663,23.69,-46.19,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu0.5_P0|AUTH_UNCERTAIN_ttc7.0,100,7.0,194.44,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.147,6.663,2.853,0.337,79.25,9.36,ROBUSTLY SATISFIED,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu0.5_P0|AUTH_UNCERTAIN_ttc10.0,100,10.0,277.78,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation holds speed until authority transfer at f*t1, f in [0, 1]; drag only afterwards","[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.147,6.663,5.853,3.337,162.58,92.69,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu0.5_P1_ttc2.0,100,2.0,55.56,0.5,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.147,6.4778,-2.147,-4.4778,-59.64,-124.38,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu0.5_P1_ttc3.0,100,3.0,83.33,0.5,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.147,6.4778,-1.147,-3.4778,-31.86,-96.6,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu0.5_P1_ttc5.0,100,5.0,138.89,0.5,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.147,6.4778,0.853,-1.4778,23.69,-41.05,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu0.5_P1_ttc7.0,100,7.0,194.44,0.5,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.147,6.4778,2.853,0.5222,79.25,14.51,ROBUSTLY SATISFIED,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu0.5_P1_ttc10.0,100,10.0,277.78,0.5,P1,P1,IRRELEVANT,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation ceases propulsion at TOR; drag only until effective braking. Authority timing has no longitudinal effect because both sides of it are drag. Lift-off regen / engine braking excluded, so this is the powertrain-conservative passive case","[0.218, 0.4002]",,"[6.43, 9.1]","[4.905, 4.905]",4.147,6.4778,5.853,3.5222,162.58,97.84,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc2.0,100,2.0,55.56,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",3.497,5.8392,-1.497,-3.8392,-41.58,-106.65,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc3.0,100,3.0,83.33,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",3.497,5.8392,-0.497,-2.8392,-13.8,-78.87,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc5.0,100,5.0,138.89,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",3.497,5.8392,1.503,-0.8392,41.75,-23.31,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc7.0,100,7.0,194.44,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",3.497,5.8392,3.503,1.1608,97.31,32.24,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc10.0,100,10.0,277.78,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation applies net deceleration a_sup until effective human braking,"[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",3.497,5.8392,6.503,4.1608,180.64,115.58,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v100_mu0.5_P2|AUTH_UNCERTAIN_ttc2.0,100,2.0,55.56,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",3.497,6.4778,-1.497,-4.4778,-41.58,-124.38,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu0.5_P2|AUTH_UNCERTAIN_ttc3.0,100,3.0,83.33,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",3.497,6.4778,-0.497,-3.4778,-13.8,-96.6,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v100_mu0.5_P2|AUTH_UNCERTAIN_ttc5.0,100,5.0,138.89,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",3.497,6.4778,1.503,-1.4778,41.75,-41.05,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu0.5_P2|AUTH_UNCERTAIN_ttc7.0,100,7.0,194.44,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",3.497,6.4778,3.503,0.5222,97.31,14.51,ROBUSTLY SATISFIED,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
v100_mu0.5_P2|AUTH_UNCERTAIN_ttc10.0,100,10.0,277.78,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]","automation applies a_sup until authority transfer at f*t1, then drag only","[0.218, 0.4002]","[1.0, 3.0]","[6.43, 9.1]","[4.905, 4.905]",3.497,6.4778,6.503,3.5222,180.64,97.84,ROBUSTLY SATISFIED,False,ROBUSTLY SATISFIED,monotone_endpoint_bound
v130_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc2.0,130,2.0,72.22,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.3098, 0.5897]",,"[6.43, 9.1]","[6.43, 9.1]",3.3886,6.6227,-1.3886,-4.6227,-50.14,-166.93,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v130_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc3.0,130,3.0,108.33,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.3098, 0.5897]",,"[6.43, 9.1]","[6.43, 9.1]",3.3886,6.6227,-0.3886,-3.6227,-14.03,-130.82,ROBUSTLY UNSATISFIED,False,ROBUSTLY UNSATISFIED,monotone_endpoint_bound
v130_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc5.0,130,5.0,180.56,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"[1.15, 3.0]","[0.05, 0.17]","[0.3, 1.2]",automation holds speed (net 0) until authority transfer at effective human braking; equals the legacy W0 pre-control behaviour,"[0.3098, 0.5897]",,"[6.43, 9.1]","[6.43, 9.1]",3.3886,6.6227,1.6114,-1.6227,58.19,-58.6,PARAMETER-SENSITIVE,False,PARAMETER-SENSITIVE,monotone_endpoint_bound
